{SimaPro 7.3}
{methods}
{Date: 2012-05-14}
{Time: 10:10:32}
{Project: Methods}
{CSV Format version: 7.0.0}
{CSV separator: Semicolon}
{Decimal separator: ,}
{Date separator: -}
{Short date format: yyyy-MM-dd}
Method
Name
IMPACTWorld+ (Default_Endpoint)
Version;
0;1
Comment;
IMPACTWorld+ (Default_Endpoint). Beta version;
Category;
Others;
Use Damage Assessment;
yes;
Use Normalization;
no;
Use Weighting;
no;;;;;
Use Addition;;;;;
yes;;;;;
Impact category;;;;;
Carcinogens;DALY;;;;
Substances;;;;;
Air;(unspecified);,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Air;high. pop.;,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Air;low. pop.;,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Soil;(unspecified);,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Soil;agricultural;,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Water;(unspecified);,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Water;ocean;,beta,,,beta,-Carotene;7235407;0,00E+00;kg
Air;(unspecified);1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;4,96E-05;kg
Air;high. pop.;1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;6,55E-05;kg
Air;low. pop.;1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;3,37E-05;kg
Soil;(unspecified);1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;2,07E-06;kg
Soil;agricultural;1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;3,06E-05;kg
Water;(unspecified);1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;3,51E-04;kg
Water;ocean;1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate;10473708;7,15E-06;kg
Air;(unspecified);1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Air;high. pop.;1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Air;low. pop.;1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Soil;(unspecified);1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Soil;agricultural;1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Water;(unspecified);1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Water;ocean;1-[bis(2-Hydroxypropyl)amino]propan-2-ol;122203;0,00E+00;kg
Air;(unspecified);1-amino-2,4-dibromoanthraquinone;81492;2,69E-05;kg
Air;high. pop.;1-amino-2,4-dibromoanthraquinone;81492;3,00E-05;kg
Air;low. pop.;1-amino-2,4-dibromoanthraquinone;81492;2,38E-05;kg
Soil;(unspecified);1-amino-2,4-dibromoanthraquinone;81492;2,98E-07;kg
Soil;agricultural;1-amino-2,4-dibromoanthraquinone;81492;6,45E-06;kg
Water;(unspecified);1-amino-2,4-dibromoanthraquinone;81492;5,34E-05;kg
Water;ocean;1-amino-2,4-dibromoanthraquinone;81492;8,02E-07;kg
Air;(unspecified);1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
Air;high. pop.;1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
Air;low. pop.;1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
Soil;(unspecified);1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
Soil;agricultural;1-Aminopropane-1,3-dicarboxylic acid;56860;0,00E+00;kg
