SimaPro 7.3;method;Date:;7/18/2011;Time:;2:35 PM
Project;Guillaume_test;;;;
Name;ReCiPe Midpoint (H) V1.05;;;;
Comment;ReCiPe midpoint method, hierarchist version. The default ReCiPe midpoint method is the Hierarchist version, with European normalisation.;;;;
;The ReCiPe method was created by RIVM, CML, PRŽ Consultants, Radboud Universiteit Nijmegen and CE Delft. In ReCiPe you can choose to use midpoint indicators or endpoint indicators. Each method has been created for three different perspectives. More information on the method via www.lcia-recipe.net.;;;;
;Evaluation:;;;;
;"""Europe ReCiPe H"" refers to the normalisation values of Europe.";;;;
;"""World ReCiPe H"" refers to the normalisation values of the world.";;;;
;In case the original method only reported a characterisation value for one specific subcompartment, this value is taken as the characterisation value for all subcompartments in this compartment. ;;;;
;"The characterisation values of the subcompartments ""fresh water"", ""high population density"" and ""industrial soil"" were used for the subcompartment ""unspecified"".";;;;
;Adaptations (Version 1.01, 2008)
;- Removed subcompartments of resources. Added PM<10 substance with the same characterisation value of 2.5>PM<10. Added Sulfur oxides with the same characterisation value of sulfur dioxide.
;Other adaptations (Version 1.02, October 2009)
;#NOM?
;- Changed characterization value of 'Methane, biogenic' in Climate change from 25 to 22.
;Other adaptations (Version 1.03, November 2009)
;#NOM?
;- NO2 added in impact categories Photochemical oxidant formation, Particulate matter formation, Terrestrial acidification, with the same factor as NOx 
;#NOM?
;- Substances were added to impact category Marine eutrophication. Substances cyanide and nitrite to air and water were removed. Substances to air, Manure N and Fertiliser N were removed due to double counting. Characterisation factors for ammonia and nitrate to water were corrected. 
;Other adaptations (Version 1.04, March 2010)
;- Added normalisation figures for Freshwater eutrophication and Marine eutrophication again to correct their exclusion in ReCiPe version 1.03.
;- In impact category Terrestrial acidification the characterisation value of NO2 was changed to 0.56.    ;;;;
;Other adaptations (Version 1.05, July 2010);;;;
;"- Recalculated normalisation factors in order to: correct the European and Global values of benzene and dioxins; exclude the double value for 'Coal, hard, unspecified, in ground' in the European situation.";;;;
Use Damage Assessment;No;;;;
Use Normalization;Yes;;;;
Use Weighting;No;;;;
Use Addition;No;;;;
Impact category;Climate change;kg CO2 eq;;;
Air;(unspecified);1-Propanol, 3,3,3-trifluoro-2,2-bis(trifluoromethyl)-, HFE-7100;014117-17-0;297;kg CO2 eq / kg
Air;(unspecified);Butane, 1,1,1,3,3-pentafluoro-, HFC-365mfc;000406-58-6;794;kg CO2 eq / kg
Air;(unspecified);Butane, perfluoro-;000355-25-9;8860;kg CO2 eq / kg
Air;(unspecified);Butane, perfluorocyclo-, PFC-318;000115-25-3;10300;kg CO2 eq / kg
Air;(unspecified);Carbon dioxide;000124-38-9;1;kg CO2 eq / kg
Air;(unspecified);Carbon dioxide, fossil;000124-38-9;1;kg CO2 eq / kg
Air;(unspecified);Carbon dioxide, land transformation;000124-38-9;1;kg CO2 eq / kg
Air;(unspecified);Chloroform;000067-66-3;31;kg CO2 eq / kg
Air;(unspecified);Dimethyl ether;000115-10-6;1;kg CO2 eq / kg
Air;(unspecified);Dinitrogen monoxide;010024-97-2;298;kg CO2 eq / kg
Air;(unspecified);Ethane, 1-chloro-1,1-difluoro-, HCFC-142b;000075-68-3;2310;kg CO2 eq / kg
Air;(unspecified);Ethane, 1-chloro-2,2,2-trifluoro-(difluoromethoxy)-, HCFE-235da2;026675-46-7;350;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;001717-00-6;725;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1-difluoro-, HFC-152a;000075-37-6;124;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1,1-trichloro-, HCFC-140;000071-55-6;146;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1,1-trifluoro-, HFC-143a;000420-46-2;4470;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;000811-97-2;1430;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;000076-13-1;6130;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1,2-trifluoro-, HFC-143;000430-66-0;353;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,1,2,2-tetrafluoro-, HFC-134;000359-35-3;1100;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,2-dibromotetrafluoro-, Halon 2402;000124-73-2;1640;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;000076-14-2;10000;kg CO2 eq / kg
Air;(unspecified);Ethane, 1,2-difluoro-, HFC-152;000624-72-6;53;kg CO2 eq / kg
Air;(unspecified);Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;002837-89-0;609;kg CO2 eq / kg
Air;(unspecified);Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123;000306-83-2;77;kg CO2 eq / kg
Air;(unspecified);Ethane, chloropentafluoro-, CFC-115;000076-15-3;7370;kg CO2 eq / kg
Air;(unspecified);Ethane, fluoro-, HFC-161;000353-36-6;12;kg CO2 eq / kg
Air;(unspecified);Ethane, hexafluoro-, HFC-116;000076-16-4;12200;kg CO2 eq / kg
Air;(unspecified);Ethane, pentafluoro-, HFC-125;000354-33-6;3500;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,1-trifluoromethyl methyl-, HFE-143a;000421-14-7;756;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl-, HFE-347mcc3;000406-78-0;575;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl-, HFE-347mcf2;000406-78-0;374;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,2-Tetrafluoroethyl methyl-, HFE-254cb2;000425-88-7;359;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356mec3;000382-34-3;101;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356pcc3;000382-34-3;110;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356pcf2;000382-34-3;265;kg CO2 eq / kg
Air;(unspecified);Ether, 1,1,2,3,3,3-Hexafluoropropyl methyl-, HFE-356pcf3;000382-34-3;502;kg CO2 eq / kg
Air;(unspecified);Ether, 1,2,2-trifluoroethyl trifluoromethyl-, HFE-236ea2;084011-06-3;989;kg CO2 eq / kg
Air;(unspecified);Ether, 1,2,2-trifluoroethyl trifluoromethyl-, HFE-236fa;084011-06-3;487;kg CO2 eq / kg
Air;(unspecified);Ether, 2,2,3,3,3-Pentafluoropropyl methyl-, HFE-365mcf3;000378-16-5;11;kg CO2 eq / kg
Air;(unspecified);Ether, di(difluoromethyl), HFE-134;001691-17-4;6320;kg CO2 eq / kg
Air;(unspecified);Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245cb2;001885-48-9;708;kg CO2 eq / kg
Air;(unspecified);Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245fa1;001885-48-9;286;kg CO2 eq / kg
Air;(unspecified);Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245fa2;001885-48-9;659;kg CO2 eq / kg
Air;(unspecified);Ether, ethyl 1,1,2,2-tetrafluoroethyl-, HFE-374pc2;000512-51-6;557;kg CO2 eq / kg
Air;(unspecified);Ether, nonafluorobutane ethyl-, HFE569sf2 (HFE-7200);;59;kg CO2 eq / kg
Air;(unspecified);Ether, pentafluoromethyl-, HFE-125;003822-68-2;14900;kg CO2 eq / kg
Air;(unspecified);Hexane, perfluoro-;000355-42-0;9300;kg CO2 eq / kg
Air;(unspecified);HFE-227EA;;1540;kg CO2 eq / kg
Air;(unspecified);HFE-236ca12 (HG-10);;2800;kg CO2 eq / kg
Air;(unspecified);HFE-263fb2;;11;kg CO2 eq / kg
Air;(unspecified);HFE-329mcc2;;919;kg CO2 eq / kg
Air;(unspecified);HFE-338mcf2;;552;kg CO2 eq / kg
Air;(unspecified);HFE-338pcc13 (HG-01);;1500;kg CO2 eq / kg
Air;(unspecified);HFE-347pcf2;;580;kg CO2 eq / kg
Air;(unspecified);HFE-43-10pccc124 (H-Galden1040x);;1870;kg CO2 eq / kg
Air;(unspecified);Hydrocarbons, chlorinated;;10,6;kg CO2 eq / kg
Air;(unspecified);Methane;000074-82-8;25;kg CO2 eq / kg
Air;(unspecified);Methane, biogenic;000074-82-8;22;kg CO2 eq / kg
Air;(unspecified);Methane, bromo-, Halon 1001;000074-83-9;5;kg CO2 eq / kg
Air;(unspecified);Methane, bromochlorodifluoro-, Halon 1211;000353-59-3;1890;kg CO2 eq / kg
Air;(unspecified);Methane, bromodifluoro-, Halon 1201;001511-62-2;404;kg CO2 eq / kg
Air;(unspecified);Methane, bromotrifluoro-, Halon 1301;000075-63-8;7140;kg CO2 eq / kg
Air;(unspecified);Methane, chlorodifluoro-, HCFC-22;000075-45-6;1810;kg CO2 eq / kg
Air;(unspecified);Methane, chlorotrifluoro-, CFC-13;000075-72-9;14400;kg CO2 eq / kg
Air;(unspecified);Methane, dibromo-;000074-95-3;1,54;kg CO2 eq / kg
Air;(unspecified);Methane, dichloro-, HCC-30;000075-09-2;8,7;kg CO2 eq / kg
Water;(unspecified);Methane, dichloro-, HCC-30;000075-09-2;8,7;kg CO2 eq / kg
Air;(unspecified);Methane, dichlorodifluoro-, CFC-12;000075-71-8;10900;kg CO2 eq / kg
Air;(unspecified);Methane, dichlorofluoro-, HCFC-21;000075-43-4;151;kg CO2 eq / kg
Air;(unspecified);Methane, difluoro-, HFC-32;000075-10-5;675;kg CO2 eq / kg
Air;(unspecified);Methane, fluoro-, HFC-41;000593-53-3;92;kg CO2 eq / kg
Air;(unspecified);Methane, fossil;000074-82-8;25;kg CO2 eq / kg
Air;(unspecified);Methane, iodotrifluoro-;002314-97-8;0,4;kg CO2 eq / kg
Air;(unspecified);Methane, monochloro-, R-40;000074-87-3;13;kg CO2 eq / kg
Air;(unspecified);Methane, tetrachloro-, CFC-10;000056-23-5;1400;kg CO2 eq / kg
Water;(unspecified);Methane, tetrachloro-, CFC-10;000056-23-5;1400;kg CO2 eq / kg
Air;(unspecified);Methane, tetrafluoro-, CFC-14;000075-73-0;7390;kg CO2 eq / kg
Air;(unspecified);Methane, trichlorofluoro-, CFC-11;000075-69-4;4750;kg CO2 eq / kg
Air;(unspecified);Methane, trifluoro-, HFC-23;000075-46-7;14800;kg CO2 eq / kg
Air;(unspecified);Nitrogen fluoride;007783-54-2;17200;kg CO2 eq / kg
Air;(unspecified);Pentane, 2,3-dihydroperfluoro-, HFC-4310mee;138495-42-8;1640;kg CO2 eq / kg
Air;(unspecified);Pentane, perfluoro-;000678-26-2;9160;kg CO2 eq / kg
Air;(unspecified);PFC-9-1-18;;7500;kg CO2 eq / kg
Air;(unspecified);PFPMIE;;10300;kg CO2 eq / kg
Air;(unspecified);Propane, 1,1,1,2,2,3-hexafluoro-, HFC-236cb;000677-56-5;1340;kg CO2 eq / kg
Air;(unspecified);Propane, 1,1,1,2,3,3-hexafluoro-, HFC-236ea;000431-63-0;1370;kg CO2 eq / kg
Air;(unspecified);Propane, 1,1,1,2,3,3,3-heptafluoro-, HFC-227ea;000431-89-0;3220;kg CO2 eq / kg
Air;(unspecified);Propane, 1,1,1,3,3,3-hexafluoro-, HCFC-236fa;000690-39-1;9810;kg CO2 eq / kg
Air;(unspecified);Propane, 1,1,2,2,3-pentafluoro-, HFC-245ca;000679-86-7;693;kg CO2 eq / kg
Air;(unspecified);Propane, 1,1,3,3-tetrafluoro-, HFC-245fa;004556-24-5;1030;kg CO2 eq / kg
Air;(unspecified);Propane, 1,3-dichloro-1,1,2,2,3-pentafluoro-, HCFC-225cb;000507-55-1;595;kg CO2 eq / kg
Air;(unspecified);Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-, HCFC-225ca;000422-56-0;122;kg CO2 eq / kg
Air;(unspecified);Propane, perfluoro-;000076-19-7;8830;kg CO2 eq / kg
Air;(unspecified);Sulfur hexafluoride;002551-62-4;22800;kg CO2 eq / kg
Air;(unspecified);Trifluoromethylsulfur pentafluoride;000373-80-8;17700;kg CO2 eq / kg
Impact category;Ozone depletion;kg CFC-11 eq;;;
Air;(unspecified);Ethane, 1-chloro-1,1-difluoro-, HCFC-142b;000075-68-3;0,07;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;001717-00-6;0,12;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,1,1-trifluoro-2,2-chlorobromo-, Halon 2311;000151-67-7;0,14;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,1,1,2-tetrafluoro-2-bromo-, Halon 2401;000124-72-1;0,25;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,1,2-trichloro-;000079-00-5;0,12;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;000076-13-1;1;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,2-dibromotetrafluoro-, Halon 2402;000124-73-2;6;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;000076-14-2;0,94;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;002837-89-0;0,02;kg CFC-11 eq / kg
Air;(unspecified);Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123;000306-83-2;0,02;kg CFC-11 eq / kg
Air;(unspecified);Ethane, chloropentafluoro-, CFC-115;000076-15-3;0,44;kg CFC-11 eq / kg
Air;(unspecified);Hydrocarbons, chlorinated;;0,00617;kg CFC-11 eq / kg
Air;(unspecified);Methane, bromo-, Halon 1001;000074-83-9;0,38;kg CFC-11 eq / kg
Air;(unspecified);Methane, bromochlorodifluoro-, Halon 1211;000353-59-3;6;kg CFC-11 eq / kg
Air;(unspecified);Methane, bromodifluoro-, Halon 1201;001511-62-2;1,4;kg CFC-11 eq / kg
Air;(unspecified);Methane, bromotrifluoro-, Halon 1301;000075-63-8;12;kg CFC-11 eq / kg
Air;(unspecified);Methane, chlorodifluoro-, HCFC-22;000075-45-6;0,05;kg CFC-11 eq / kg
Air;(unspecified);Methane, dibromodifluoro-, Halon 1202;000075-61-6;1,3;kg CFC-11 eq / kg
Air;(unspecified);Methane, dichlorodifluoro-, CFC-12;000075-71-8;1;kg CFC-11 eq / kg
Air;(unspecified);Methane, monochloro-, R-40;000074-87-3;0,02;kg CFC-11 eq / kg
Air;(unspecified);Methane, tetrachloro-, CFC-10;000056-23-5;0,73;kg CFC-11 eq / kg
Air;(unspecified);Methane, trichlorofluoro-, CFC-11;000075-69-4;1;kg CFC-11 eq / kg
Air;(unspecified);Propane, 1,3-dichloro-1,1,2,2,3-pentafluoro-, HCFC-225cb;000507-55-1;0,03;kg CFC-11 eq / kg
Air;(unspecified);Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-, HCFC-225ca;000422-56-0;0,02;kg CFC-11 eq / kg
Impact category;Human toxicity;kg 1,4-DB eq;;;
Water;(unspecified);1-Butanol;000071-36-3;0,0176;kg 1,4-DB eq / kg
Water;ocean;1-Butanol;000071-36-3;0,000396;kg 1,4-DB eq / kg
Air;(unspecified);1,4-Dioxane;000123-91-1;0,42;kg 1,4-DB eq / kg
Air;low. pop.;1,4-Dioxane;000123-91-1;0,0465;kg 1,4-DB eq / kg
Air;low. pop., long-term;1,4-Dioxane;000123-91-1;0,0465;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;1,4-Dioxane;000123-91-1;0,0465;kg 1,4-DB eq / kg
Water;(unspecified);1,4-Dioxane;000123-91-1;0,149;kg 1,4-DB eq / kg
Water;ocean;1,4-Dioxane;000123-91-1;0,00389;kg 1,4-DB eq / kg
Air;(unspecified);2-Acetylaminofluorene;000053-96-3;105;kg 1,4-DB eq / kg
Air;low. pop.;2-Acetylaminofluorene;000053-96-3;69,2;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Acetylaminofluorene;000053-96-3;69,2;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Acetylaminofluorene;000053-96-3;69,2;kg 1,4-DB eq / kg
Air;(unspecified);2-Benzothiazolethiol;000149-30-4;0,287;kg 1,4-DB eq / kg
Air;low. pop.;2-Benzothiazolethiol;000149-30-4;0,256;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Benzothiazolethiol;000149-30-4;0,256;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Benzothiazolethiol;000149-30-4;0,256;kg 1,4-DB eq / kg
Water;(unspecified);2-Benzothiazolethiol;000149-30-4;0,137;kg 1,4-DB eq / kg
Water;ocean;2-Benzothiazolethiol;000149-30-4;0,000294;kg 1,4-DB eq / kg
Air;(unspecified);2-Butenal;004170-30-3;16,9;kg 1,4-DB eq / kg
Air;low. pop.;2-Butenal;004170-30-3;0,776;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Butenal;004170-30-3;0,776;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Butenal;004170-30-3;0,776;kg 1,4-DB eq / kg
Water;(unspecified);2-Butenal;004170-30-3;1,33;kg 1,4-DB eq / kg
Water;ocean;2-Butenal;004170-30-3;0,00813;kg 1,4-DB eq / kg
Soil;(unspecified);2,4-D;000094-75-7;0,383;kg 1,4-DB eq / kg
Soil;(unspecified);2,4,5-T;000093-76-5;1,71;kg 1,4-DB eq / kg
Soil;(unspecified);2,6-Dichloro-4-nitroaniline;000099-30-9;1,2;kg 1,4-DB eq / kg
